CLE;ID Operation;Type Operation;Montant;Solde avant;Solde apres;Code proprietaire;Telephone;Statut;ID Transaction;Num bordereau;Date operation;Date de versement;Banque appro;Login demandeur Appro;Login valideur Appro;Motif rejet;Frais connexion;Numero Trans GU;Agent;Motif regularisation;groupe de reseau
1754430476516;2427945732;FRAIS_TRANSACTION;-300;54.382;54.382;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430476516;718768443;;CM
1754430344987;2427943538;IMPACT_COMPTIMPACT-COMPTE-GENERAL;1952;54.46;54.408;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430344987;718768443;;CM
1754430344987;2427943540;FRAIS_TRANSACTION;-300;54.408;54.407;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430344987;718768443;;CM
1754430203496;2427941193;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-500;54.96;54.46;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430203496;718768443;;CM
1754430203496;2427941195;FRAIS_TRANSACTION;-300;54.46;54.46;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430203496;718768443;;CM
1754430199670;2427941139;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-100.64;55.061;54.96;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430199670;718768443;;CM
1754430199670;2427941142;FRAIS_TRANSACTION;-300;54.96;54.96;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430199670;718768443;;CM
1754430196886;2427941123;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-7.48;55.069;55.061;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430196886;718768443;;CM
1754430196886;2427941125;FRAIS_TRANSACTION;-300;55.061;55.061;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430196886;718768443;;CM
1754429722372;2427932603;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-35.36;55.104;55.069;CELCM0001;null;OK;;null;2025;null;null;;;;;1754429722372;718768443;;CM
1754429722372;2427932605;FRAIS_TRANSACTION;-300;55.069;55.069;CELCM0001;null;OK;;null;2025;null;null;;;;;1754429722372;718768443;;CM
1754429718822;2427932496;FRAIS_TRANSACTION;-300;55.105;55.104;CELCM0001;null;OK;;null;2025;null;null;;;;;1754429718822;718768443;;CM
